company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
The United States Playing Card Company - A Cartamundi Company,usplayingcard.com,Erlanger,KY,United States,46,http://www.linkedin.com/company/usplayingcardcompany,1867,Consumer,5518,11546000,1,,,,,,,https://www.growjo.com/company/The_United_States_Playing_Card_Company_-_A_Cartamundi_Company,https://www.indeed.com/jobs?q=company%3A(The United States Playing Card Company - A Cartamundi Company),31%,For Contact Direct Phone Numbers and Emails see Lead411
Heartland Automation,heartland-automation.com,Georgetown,KY,United States,69,http://www.linkedin.com/company/heartland-automation-llc,,Industrial,5548,24357000,1,"Hardware,Hardware Peripherals",,,,,,https://www.growjo.com/company/Heartland_Automation,https://www.indeed.com/jobs?q=company%3A(Heartland Automation),21%,For Contact Direct Phone Numbers and Emails see Lead411
Advanced Business Solutions | Louisville IT Support & Services,advancedbusinesssolutions.com,Louisville,KY,United States,97,http://www.linkedin.com/company/abs-advanced-business-solutions,1995,Tech Services,5575,14065000,1,"Accounting,Consumer Services,Data Storage,Finance,Human Resources Hr,Storage",,,,,,https://www.growjo.com/company/Advanced_Business_Solutions_|_Louisville_IT_Support_&_Services,https://www.indeed.com/jobs?q=company%3A(Advanced Business Solutions | Louisville IT Support & Services),21%,For Contact Direct Phone Numbers and Emails see Lead411
Highlands Diversified Services,hds-usa.com,London,KY,United States,82,http://www.linkedin.com/company/highlands-diversified-services,1994,Automotive,5686,27060000,1,,,,,,,https://www.growjo.com/company/Highlands_Diversified_Services,https://www.indeed.com/jobs?q=company%3A(Highlands Diversified Services),21%,For Contact Direct Phone Numbers and Emails see Lead411
Heaven Hill Brands,heavenhill.com,Bardstown,Ky,United States,310,http://www.linkedin.com/company/heaven-hill-brands,1935,Beverages,5687,,1,"Advertising,Food & Beverages",,,,,,https://www.growjo.com/company/Heaven_Hill_Brands,https://www.indeed.com/jobs?q=company%3A(Heaven Hill Brands),23%,For Contact Direct Phone Numbers and Emails see Lead411
HealthTech Solutions,healthtechsolutions.com,Frankfort,KY,United States,127,http://www.linkedin.com/company/thinkhts,2011,Consulting,5694,,1,,,,,,,https://www.growjo.com/company/HealthTech_Solutions,https://www.indeed.com/jobs?q=company%3A(HealthTech Solutions),21%,For Contact Direct Phone Numbers and Emails see Lead411
Lawrence County School District,lawrence.kyschools.us,Frankfort,KY,United States,72,http://www.linkedin.com/company/lawrence-county-school-district,,Education,5776,12960000,1,,,,,,,https://www.growjo.com/company/Lawrence_County_School_District,https://www.indeed.com/jobs?q=company%3A(Lawrence County School District),20%,For Contact Direct Phone Numbers and Emails see Lead411
Seek Now,seek-now.com,Louisville,KY,United States,330,http://www.linkedin.com/company/seek-now,,Insurance,5859,72600000,1,,,,,,,https://www.growjo.com/company/Seek_Now,https://www.indeed.com/jobs?q=company%3A(Seek Now),22%,For Contact Direct Phone Numbers and Emails see Lead411
GrayWolf Integrated Construction Company,graywolf.com,Owensboro,KY,United States,79,http://www.linkedin.com/company/graywolf-integrated-construction-company,2019,Construction,5874,22910000,1,,,,,,,https://www.growjo.com/company/GrayWolf_Integrated_Construction_Company,https://www.indeed.com/jobs?q=company%3A(GrayWolf Integrated Construction Company),20%,For Contact Direct Phone Numbers and Emails see Lead411
Premier Packaging,prempack.com,Louisville/Jefferson County metro go,KY,United States,412,http://www.linkedin.com/company/premier-packaging-inc,,Packaging,6023,,1,,,,,,,https://www.growjo.com/company/Premier_Packaging,https://www.indeed.com/jobs?q=company%3A(Premier Packaging),23%,For Contact Direct Phone Numbers and Emails see Lead411
